item,sku,category,vendor,last_purchased,unit_price,unit
REVOLUTION ANTI HERO IPA 15.5 gal Keg,794152,Alcohol:Beer,Euclid Bev,2026-03-20,196.00,keg
Keg Return,XCKR-101,Alcohol:Beer,Euclid Bev,2026-02-26,30.00,each
CORONA EXTRA 1/4 BBL,BT-5512,Alcohol:Beer,BreakThru,2026-03-27,89.00,keg
MILLER LITE 1/2 BBL,BT-5601,Alcohol:Beer,BreakThru,2026-03-31,98.00,keg
MODELO ESPECIAL 1/4 BBL,WC-6601,Alcohol:Beer,Windy City,2026-03-27,95.00,keg
COORS LIGHT 1/2 BBL,WC-6702,Alcohol:Beer,Windy City,2026-03-13,92.00,keg
