item,sku,category,vendor,last_purchased,unit_price,unit
DEICER MAGNESIUM CHLORIDE,739961,Supplies,GORDON FOOD SERVICE,2026-01-23,8.50,each
REGISTER ROLL 3.13IN,866742,Supplies,GORDON FOOD SERVICE,2026-03-20,59.75,each
