"LocationName","RecipeName","Status","RecipeGroup","Type","FoodCost","FoodCostPercentage","LaborCost","LaborCostPercentage","MenuPrice","PrepRecipeYieldPercentage","GrossMargin","PrimeCost","PrimeCostPercentage","CostModified","ShelfLife","ShelfLifeUom","PrepRecipeYield","PrepRecipeYieldUom","Serving","ServingSize","ServingSizeUom","PerServing"
"Jackson Ave Pub - Naperville","Miller Lite Draft","Draft","","Recipe","1.00000000000127","0","0","0","0","100","0","1.00000000000127","0","03/02/2026 16:21:44","","","","","","1","","1.00000000000127"
"Jackson Ave Pub - Naperville","Pollyanna Blackberry","Draft","Draft Beer ","Recipe","0","0","0","0","0","100","0","0","0","03/02/2026 16:20:11","","","","","","1","","0"
"Jackson Ave Pub - Naperville","93 Octane Tailgate","Complete","Draft Beer ","Recipe","2.0591085271344","0","0","0","0","100","0","2.0591085271344","0","03/02/2026 16:17:28","","","","","","16","fl oz","0.1286942829459"
"Jackson Ave Pub - Naperville","Art History MInor ","Complete","Draft Beer ","Recipe","2.30135658915021","30.684754522002798","0","0","7.5","100","69.3152454779972","2.30135658915021","30.68","03/02/2026 16:15:56","","","","","","1","","2.30135658915021"
"Jackson Ave Pub - Naperville","Solemn Oath Cold Black Night","Complete","","Recipe","2.4467054263597","32.62273901812934","0","0","7.5","100","67.37726098187066","2.4467054263597","32.62","03/02/2026 16:13:59","","","","","","1","","2.4467054263597"
"Jackson Ave Pub - Naperville","Lagunitas Hazy IPA","Complete","Draft Beer ","Recipe","1.53225806451808","20.430107526907733","0","0","7.5","100","79.56989247309227","1.53225806451808","20.43","03/02/2026 16:13:19","","","","","","1","","1.53225806451808"
"Jackson Ave Pub - Naperville","Strawberry Mojito","Complete","COCKTAILS","Recipe","1.9304247693158363","0","0","0","0","100","0","1.9304247693158363","0","03/01/2026 04:47:54","","","","","","1","","1.9304247693158363"
"Jackson Ave Pub - Naperville","Three Floyd's Zombie Dust","Complete","Draft Beer ","Recipe","1.70161290322797","22.6881720430396","0","0","7.5","100","77.3118279569604","1.70161290322797","22.69","02/27/2026 21:19:34","","","","","","1","each","1.70161290322797"
"Jackson Ave Pub - Naperville","Dovetail Pilsner","Complete","Draft Beer ","Recipe","1.60483870967946","0","0","0","0","100","0","1.60483870967946","0","02/27/2026 20:40:21","","","","","","1","","1.60483870967946"
"Jackson Ave Pub - Naperville","Fish And Chips","Complete","","Recipe","6.125918395833381","32.24167576754411","0","0","19","100","67.75832423245589","6.125918395833381","32.24","02/20/2026 19:08:57","","","","","","1","","6.125918395833381"
"Jackson Ave Pub - Naperville","Beer Batter","Complete","Food","PrepRecipe","2.077823888890158","0","0","0","0","100","0","2.077823888890158","0","02/20/2026 18:58:35","","","80","fl oz","","","","0.025972798611126974"
"Jackson Ave Pub - Naperville","March Madness Trio","Complete","Food","Recipe","3.5475150049605872","0","0","0","0","100","0","3.5475150049605872","0","02/20/2026 18:48:14","","","","","","1","","3.5475150049605872"
"Jackson Ave Pub - Naperville","Miller Buckets","Complete","","Recipe","5.30208333333335","0","0","0","0","100","0","5.30208333333335","0","02/19/2026 03:47:49","","","","","","1","","5.30208333333335"
"Jackson Ave Pub - Naperville","Ruben","Complete","Food","Recipe","4.296884982174709","0","0","0","0","100","0","4.296884982174709","0","02/19/2026 03:36:31","","","","","","1","","4.296884982174709"
"Jackson Ave Pub - Naperville","Farm House Burger","Complete","Burgers ","Recipe","1.3157128383506485","0","0","0","0","100","0","1.3157128383506485","0","02/19/2026 03:34:20","","","","","","1","","1.3157128383506485"
"Jackson Ave Pub - Naperville","Boulevard Whiskey Barrel Aged Stout","Complete","Draft Beer ","Recipe","1.57461240310278","0","0","0","0","100","0","1.57461240310278","0","02/19/2026 03:31:58","","","","","","1","","1.57461240310278"
"Jackson Ave Pub - Naperville","Creamy Broccoli Soup","Complete","Food","PrepRecipe","35.194898124487196","0","0","0","0","100","0","35.194898124487196","0","02/16/2026 21:56:16","","","","","","1","","35.194898124487196"
"Jackson Ave Pub - Naperville","Noon Whistle Gummysaurus","Complete","Draft Beer ","Recipe","1.73387096774414","0","0","0","0","100","0","1.73387096774414","0","02/16/2026 19:16:44","","","","","","1","","1.73387096774414"
"Jackson Ave Pub - Naperville","Old Irving Crushy Mango Peach","Complete","","Recipe","2.67078488372433","0","0","0","0","100","0","2.67078488372433","0","02/09/2026 20:10:20","","","","","","1","","2.67078488372433"
"Jackson Ave Pub - Naperville","Pollyanna Strawberry Kiwi","Complete","Draft Beer ","Recipe","2.35737645349137","31.431686046551604","0","0","7.5","100","68.5683139534484","2.35737645349137","31.43","02/05/2026 03:44:07","","","","","","1","","2.35737645349137"
"Jackson Ave Pub - Naperville","Spicy Honey Butter Chicken Sandwich ","Complete","","Recipe","1.2205904809730024","6.781058227627791","0","0","18","100","93.2189417723722","1.2205904809730024","6.78","02/03/2026 20:05:58","","","","","","1","","1.2205904809730024"
"Jackson Ave Pub - Naperville","Chip Refill","Complete","LIQUOR","Recipe","0.27409850622106513","13.704925311053257","0","0","2","100","86.29507468894676","0.27409850622106513","13.7","02/03/2026 20:05:43","","","","","","1","each","0.27409850622106513"
"Jackson Ave Pub - Naperville","Salmon Sliders","Draft","","Recipe","4.98504437158987","27.694690953277057","0","0","18","100","72.30530904672294","4.98504437158987","27.69","02/03/2026 20:05:35","","","","","","1","","4.98504437158987"
"Jackson Ave Pub - Naperville","Elvis Burger ","Draft","Burgers ","Recipe","0","0","0","0","0","100","0","0","0","02/03/2026 20:04:55","","","","","","1","","0"
"Jackson Ave Pub - Naperville","Santas Mule","Complete","","Recipe","3.6643702373798073","30.536418644831727","0","0","12","100","69.46358135516829","3.6643702373798073","30.54","02/03/2026 20:03:36","","","","","","1","","3.6643702373798073"
